"","age_A","age_B","height_A","height_B","reach_A","reach_B","weight_A","weight_B","won_A","won_B","lost_A","lost_B","kos_A","kos_B","AdvAgeA","AdvHeightA","AdvReachA","AdvWgtA","Over35AgeA","Over35AgeB","Over15lbA","Over15lbB","WinPA","WinPB","KoAPer","KoBPer","binaryresult","stance"
"5575",26,26,172,170,175,175,147,148,30,19,3,0,20,7,0,2,0,-1,0,0,0,0,0.909090909090909,1,0.606060606060606,0.368421052631579,"0","southpaw"
"5059",31,21,180,180,185,188,140,141,37,16,7,0,16,13,10,0,-3,-1,0,0,0,0,0.840909090909091,1,0.363636363636364,0.8125,"0","orthodox"
"3909",28,28,168,158,172,159,105,105,21,24,0,4,15,10,0,10,13,0,0,0,0,0,1,0.857142857142857,0.714285714285714,0.357142857142857,"0","southpaw"
"820",27,23,170,171,175,179,126,126,35,21,1,0,15,11,4,-1,-4,0,0,0,0,0,0.972222222222222,1,0.416666666666667,0.523809523809524,"0","southpaw"
"3405",30,22,167,175,173,173,134,135,78,41,19,3,29,27,8,-8,0,-1,0,0,0,0,0.804123711340206,0.931818181818182,0.298969072164948,0.613636363636364,"0","southpaw"
"501",27,31,157,165,160,168,112,112,28,19,3,1,21,9,-4,-8,-8,0,0,0,0,0,0.903225806451613,0.95,0.67741935483871,0.45,"0","orthodox"
"5071",26,27,168,175,170,183,135,135,18,26,0,1,9,19,-1,-7,-13,0,0,0,0,0,1,0.962962962962963,0.5,0.703703703703704,"0","orthodox"
"2298",29,35,179,183,184,183,183,182,35,15,5,12,22,7,-6,-4,1,1,0,1,0,0,0.875,0.555555555555556,0.55,0.259259259259259,"0","orthodox"
"2613",37,28,189,188,198,198,221,224,36,36,4,3,25,27,9,1,0,-3,1,0,0,0,0.9,0.923076923076923,0.625,0.692307692307692,"0","orthodox"
"5370",31,36,188,192,191,198,220,222,33,20,3,8,32,14,-5,-4,-7,-2,0,1,0,0,0.916666666666667,0.714285714285714,0.888888888888889,0.5,"0","orthodox"
"1143",29,28,165,163,178,165,128,126,37,16,2,1,31,7,1,2,13,2,0,0,0,0,0.948717948717949,0.941176470588235,0.794871794871795,0.411764705882353,"0","southpaw"
"1450",23,22,165,165,165,155,113,112,4,3,0,0,2,1,1,0,10,1,0,0,0,0,1,1,0.5,0.333333333333333,"0","orthodox"
"1304",26,28,170,180,178,188,175,175,26,34,0,0,18,29,-2,-10,-10,0,0,0,0,0,1,1,0.692307692307692,0.852941176470588,"0","orthodox"
"2260",24,29,169,165,174,168,132,132,4,5,0,5,3,0,-5,4,6,0,0,0,0,0,1,0.5,0.75,0,"0","orthodox"
"4390",30,30,177,188,178,188,220,230,43,13,4,7,24,10,0,-11,-10,-10,0,0,0,0,0.914893617021277,0.65,0.51063829787234,0.5,"0","orthodox"
"5007",24,26,175,189,183,185,223,204,48,36,15,20,32,16,-2,-14,-2,19,0,0,1,0,0.761904761904762,0.642857142857143,0.507936507936508,0.285714285714286,"0","orthodox"
"2708",43,27,170,173,168,173,167,166,92,25,10,4,65,10,16,-3,-5,1,1,0,0,0,0.901960784313726,0.862068965517241,0.637254901960784,0.344827586206897,"0","orthodox"
"3205",28,34,190,191,206,203,209,220,27,40,0,4,19,32,-6,-1,3,-11,0,0,0,0,1,0.909090909090909,0.703703703703704,0.727272727272727,"0","orthodox"
"3659",26,23,171,163,172,168,133,132,45,39,14,15,28,19,3,8,4,1,0,0,0,0,0.76271186440678,0.722222222222222,0.474576271186441,0.351851851851852,"0","Unknown"
"3521",21,30,171,174,187,180,130,130,14,47,0,4,8,16,-9,-3,7,0,0,0,0,0,1,0.92156862745098,0.571428571428571,0.313725490196078,"0","orthodox"
"2358",30,31,173,165,185,173,134,135,31,20,2,6,15,15,-1,8,12,-1,0,0,0,0,0.939393939393939,0.769230769230769,0.454545454545455,0.576923076923077,"0","orthodox"
"678",19,26,180,160,185,170,141,142,13,4,0,4,12,0,-7,20,15,-1,0,0,0,0,1,0.5,0.923076923076923,0,"0","orthodox"
"884",25,23,170,175,170,180,148,150,2,2,0,0,1,1,2,-5,-10,-2,0,0,0,0,1,1,0.5,0.5,"0","orthodox"
"4862",24,35,188,208,198,216,225,275,26,26,0,10,26,19,-11,-20,-18,-50,0,1,0,1,1,0.722222222222222,1,0.527777777777778,"0","southpaw"
"5619",30,30,185,175,196,180,153,152,21,24,2,11,12,13,0,10,16,1,0,0,0,0,0.91304347826087,0.685714285714286,0.521739130434783,0.371428571428571,"0","southpaw"
"4276",24,27,174,170,180,175,140,139,23,29,1,1,17,27,-3,4,5,1,0,0,0,0,0.958333333333333,0.966666666666667,0.708333333333333,0.9,"0","orthodox"
"4037",33,34,171,174,178,174,147,147,39,37,7,0,30,27,-1,-3,4,0,0,0,0,0,0.847826086956522,1,0.652173913043478,0.72972972972973,"0","orthodox"
"3267",24,28,180,179,178,185,180,183,95,21,20,15,17,19,-4,1,-7,-3,0,0,0,0,0.826086956521739,0.583333333333333,0.147826086956522,0.527777777777778,"0","orthodox"
"1169",28,33,177,178,180,180,139,138,16,41,0,2,13,17,-5,-1,0,1,0,0,0,0,1,0.953488372093023,0.8125,0.395348837209302,"0","southpaw"
"4700",23,28,178,175,180,185,154,154,10,40,0,1,7,19,-5,3,-5,0,0,0,0,0,1,0.975609756097561,0.7,0.463414634146341,"0","orthodox"
"5101",27,31,173,166,180,170,117,118,35,42,2,2,22,31,-4,7,10,-1,0,0,0,0,0.945945945945946,0.954545454545455,0.594594594594595,0.704545454545455,"0","orthodox"
"1533",21,22,170,168,165,183,133,133,24,23,1,3,17,15,-1,2,-18,0,0,0,0,0,0.96,0.884615384615385,0.68,0.576923076923077,"0","Unknown"
"1700",18,19,161,155,166,155,113,113,11,6,0,3,7,4,-1,6,11,0,0,0,0,0,1,0.666666666666667,0.636363636363636,0.444444444444444,"0","orthodox"
"761",22,34,169,175,173,178,137,137,17,19,0,10,11,12,-12,-6,-5,0,0,0,0,0,1,0.655172413793103,0.647058823529412,0.413793103448276,"0","orthodox"
"762",20,30,169,170,173,185,137,136,10,10,0,5,6,9,-10,-1,-12,1,0,0,0,0,1,0.666666666666667,0.6,0.6,"0","orthodox"
"4382",34,28,182,174,183,175,154,154,35,25,2,2,22,24,6,8,8,0,0,0,0,0,0.945945945945946,0.925925925925926,0.594594594594595,0.888888888888889,"0","orthodox"
"3378",25,21,182,183,185,193,178,180,81,54,14,9,12,19,4,-1,-8,-2,0,0,0,0,0.852631578947368,0.857142857142857,0.126315789473684,0.301587301587302,"0","orthodox"
"3217",29,35,168,170,178,180,126,126,56,54,3,5,39,36,-6,-2,-2,0,0,1,0,0,0.949152542372881,0.915254237288136,0.661016949152542,0.610169491525424,"0","orthodox"
"1802",20,27,173,178,180,180,141,140,2,1,1,2,1,1,-7,-5,0,1,0,0,0,0,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,"0","orthodox"
"933",32,37,202,203,208,208,247,256,26,49,0,4,14,44,-5,-1,0,-9,0,1,0,0,1,0.924528301886792,0.538461538461538,0.830188679245283,"0","orthodox"
"4713",35,27,188,185,208,196,248,228,36,10,7,10,27,8,8,3,12,20,1,0,1,0,0.837209302325581,0.5,0.627906976744186,0.4,"0","orthodox"
"3248",33,32,179,180,183,184,160,160,48,42,3,1,25,35,1,-1,-1,0,0,0,0,0,0.941176470588235,0.976744186046512,0.490196078431373,0.813953488372093,"0","southpaw"
"2468",29,31,178,183,183,188,153,153,21,19,5,13,10,12,-2,-5,-5,0,0,0,0,0,0.807692307692308,0.59375,0.384615384615385,0.375,"0","orthodox"
"414",29,27,165,168,164,167,118,118,14,46,0,29,8,25,2,-3,-3,0,0,0,0,0,1,0.613333333333333,0.571428571428571,0.333333333333333,"0","southpaw"
"3216",31,31,168,173,178,175,130,130,60,25,4,2,42,14,0,-5,3,0,0,0,0,0,0.9375,0.925925925925926,0.65625,0.518518518518518,"0","orthodox"
"3101",27,25,178,171,183,168,130,129,58,43,5,8,48,32,2,7,15,1,0,0,0,0,0.920634920634921,0.843137254901961,0.761904761904762,0.627450980392157,"0","orthodox"
"720",28,31,192,168,191,188,179,178,15,23,0,18,12,15,-3,24,3,1,0,0,0,0,1,0.560975609756098,0.8,0.365853658536585,"0","orthodox"
"5067",22,33,175,179,185,187,180,158,2,41,10,23,1,16,-11,-4,-2,22,0,0,1,0,0.166666666666667,0.640625,0.0833333333333333,0.25,"0","Unknown"
"5166",22,32,173,172,173,193,135,136,24,33,2,15,18,20,-10,1,-20,-1,0,0,0,0,0.923076923076923,0.6875,0.692307692307692,0.416666666666667,"0","orthodox"
"5867",26,38,188,183,206,191,226,234,25,21,0,18,19,12,-12,5,15,-8,0,1,0,0,1,0.538461538461538,0.76,0.307692307692308,"0","orthodox"
"994",33,33,166,170,166,173,118,117,28,34,4,8,22,25,0,-4,-7,1,0,0,0,0,0.875,0.80952380952381,0.6875,0.595238095238095,"0","orthodox"
"2836",28,22,183,180,193,188,188,192,74,20,1,7,46,13,6,3,5,-4,0,0,0,0,0.986666666666667,0.740740740740741,0.613333333333333,0.481481481481481,"0","orthodox"
"109",24,35,189,177,191,183,168,168,31,27,0,4,24,14,-11,12,8,0,0,1,0,0,1,0.870967741935484,0.774193548387097,0.451612903225806,"0","southpaw"
"521",25,27,173,175,178,175,140,140,9,15,0,1,3,7,-2,-2,3,0,0,0,0,0,1,0.9375,0.333333333333333,0.4375,"0","southpaw"
"5987",29,31,177,175,175,183,155,154,15,25,0,6,11,12,-2,2,-8,1,0,0,0,0,1,0.806451612903226,0.733333333333333,0.387096774193548,"0","southpaw"
"2576",23,29,180,179,191,184,159,160,39,85,4,19,30,51,-6,1,7,-1,0,0,0,0,0.906976744186046,0.817307692307692,0.697674418604651,0.490384615384615,"0","orthodox"
"350",20,16,170,168,175,170,119,118,5,4,0,1,3,1,4,2,5,1,0,0,0,0,1,0.8,0.6,0.2,"0","orthodox"
"920",27,36,175,185,183,208,160,161,12,10,0,26,9,7,-9,-10,-25,-1,0,1,0,0,1,0.277777777777778,0.75,0.194444444444444,"0","orthodox"
"1852",31,24,179,166,170,173,131,130,29,14,6,19,15,11,7,13,-3,1,0,0,0,0,0.828571428571429,0.424242424242424,0.428571428571429,0.333333333333333,"0","orthodox"
"1776",23,39,160,163,163,173,127,128,5,10,0,39,4,1,-16,-3,-10,-1,0,1,0,0,1,0.204081632653061,0.8,0.0204081632653061,"0","orthodox"
"5664",29,48,173,175,178,185,150,148,8,105,0,17,7,65,-19,-2,-7,2,0,1,0,0,1,0.860655737704918,0.875,0.532786885245902,"0","orthodox"
"2874",19,24,179,173,182,180,155,164,43,97,9,16,6,11,-5,6,2,-9,0,0,0,0,0.826923076923077,0.858407079646018,0.115384615384615,0.0973451327433628,"0","orthodox"
"539",29,34,178,191,171,196,216,236,3,2,0,1,2,1,-5,-13,-25,-20,0,0,0,1,1,0.666666666666667,0.666666666666667,0.333333333333333,"0","southpaw"
"5722",26,30,185,178,191,183,174,173,23,30,4,3,17,21,-4,7,8,1,0,0,0,0,0.851851851851852,0.909090909090909,0.62962962962963,0.636363636363636,"0","Unknown"
"2274",21,20,170,172,174,173,122,122,3,2,2,0,1,0,1,-2,1,0,0,0,0,0,0.6,1,0.2,0,"0","southpaw"
"1615",21,20,173,163,173,173,145,144,9,3,0,1,6,1,1,10,0,1,0,0,0,0,1,0.75,0.666666666666667,0.25,"0","orthodox"
"5395",30,36,178,191,178,191,252,247,41,19,3,5,36,13,-6,-13,-13,5,0,1,0,0,0.931818181818182,0.791666666666667,0.818181818181818,0.541666666666667,"0","orthodox"
"2068",20,30,178,177,185,180,153,153,6,6,0,0,0,4,-10,1,5,0,0,0,0,0,1,1,0,0.666666666666667,"0","orthodox"
"4328",31,21,183,185,185,191,182,166,3,5,0,0,2,4,10,-2,-6,16,0,0,1,0,1,1,0.666666666666667,0.8,"0","orthodox"
"524",24,22,175,183,175,196,147,147,6,6,0,7,3,6,2,-8,-21,0,0,0,0,0,1,0.461538461538462,0.5,0.461538461538462,"0","orthodox"
"2146",23,29,170,185,178,192,136,136,17,14,1,6,15,5,-6,-15,-14,0,0,0,0,0,0.944444444444444,0.7,0.833333333333333,0.25,"0","orthodox"
"3310",36,28,178,178,188,191,176,172,70,56,9,18,31,37,8,0,-3,4,1,0,0,0,0.886075949367089,0.756756756756757,0.392405063291139,0.5,"0","orthodox"
"5803",38,29,201,187,218,203,248,224,37,16,1,6,23,14,9,14,15,24,1,0,1,0,0.973684210526316,0.727272727272727,0.605263157894737,0.636363636363636,"0","orthodox"
