"","age_A","age_B","height_A","height_B","reach_A","reach_B","weight_A","weight_B","won_A","won_B","lost_A","lost_B","kos_A","kos_B","result","AdvAgeA","AdvHeightA","AdvReachA","AdvWgtA","Over35AgeA","Over35AgeB","Over15lbA","Over15lbB","WinPA","WinPB","KoAPer","KoBPer","binaryresult","stance"
"4341",31,31,188,189,198,208,241,246,38,35,5,4,27,29,"win_A",0,-1,-10,-5,0,0,0,0,0.883720930232558,0.897435897435897,0.627906976744186,0.743589743589744,0,"orthodox"
"1116",18,26,168,175,175,193,123,122,3,4,0,9,3,1,"win_A",-8,-7,-18,1,0,0,0,0,1,0.307692307692308,1,0.0769230769230769,0,"orthodox"
"5251",33,38,193,187,189,185,176,177,37,18,6,3,29,6,"win_A",-5,6,4,-1,0,1,0,0,0.86046511627907,0.857142857142857,0.674418604651163,0.285714285714286,0,"orthodox"
"1419",19,26,170,170,178,173,145,141,17,12,1,5,10,9,"win_A",-7,0,5,4,0,0,0,0,0.944444444444444,0.705882352941177,0.555555555555556,0.529411764705882,0,"orthodox"
"2217",26,28,175,178,179,185,135,135,22,14,2,2,18,7,"win_A",-2,-3,-6,0,0,0,0,0,0.916666666666667,0.875,0.75,0.4375,0,"Unknown"
"1885",28,26,170,170,170,170,139,139,24,29,1,2,13,18,"win_A",2,0,0,0,0,0,0,0,0.96,0.935483870967742,0.52,0.580645161290323,0,"orthodox"
"2735",25,25,177,180,191,193,160,160,48,51,2,15,40,32,"win_A",0,-3,-2,0,0,0,0,0,0.96,0.772727272727273,0.8,0.484848484848485,0,"southpaw"
"2845",23,25,178,173,188,175,151,153,22,30,0,4,13,21,"win_A",-2,5,13,-2,0,0,0,0,1,0.882352941176471,0.590909090909091,0.617647058823529,0,"orthodox"
"1788",26,27,198,188,203,193,230,223,12,6,1,0,6,4,"win_A",-1,10,10,7,0,0,0,0,0.923076923076923,1,0.461538461538462,0.666666666666667,0,"orthodox"
"3089",31,34,170,175,170,188,125,126,43,37,2,4,33,26,"win_A",-3,-5,-18,-1,0,0,0,0,0.955555555555556,0.902439024390244,0.733333333333333,0.634146341463415,0,"orthodox"
"5238",38,24,171,171,180,178,139,146,134,78,41,14,29,51,"win_A",14,0,2,-7,1,0,0,0,0.765714285714286,0.847826086956522,0.165714285714286,0.554347826086957,0,"orthodox"
"1385",30,39,191,185,193,201,234,224,29,41,1,21,21,35,"win_A",-9,6,-8,10,0,1,0,0,0.966666666666667,0.661290322580645,0.7,0.564516129032258,0,"orthodox"
"5230",24,34,171,160,173,152,115,115,22,30,1,15,10,20,"win_A",-10,11,21,0,0,0,0,0,0.956521739130435,0.666666666666667,0.434782608695652,0.444444444444444,0,"southpaw"
"3762",21,33,193,179,203,175,194,205,17,52,3,17,15,35,"win_A",-12,14,28,-11,0,0,0,0,0.85,0.753623188405797,0.75,0.507246376811594,0,"Unknown"
"3697",26,23,168,172,169,175,135,135,38,20,3,1,34,11,"win_A",3,-4,-6,0,0,0,0,0,0.926829268292683,0.952380952380952,0.829268292682927,0.523809523809524,0,"orthodox"
"4739",24,23,160,165,168,168,108,108,15,12,0,1,12,9,"win_A",1,-5,0,0,0,0,0,0,1,0.923076923076923,0.8,0.692307692307692,0,"southpaw"
"3652",25,23,161,165,171,169,134,134,25,10,0,3,14,9,"win_A",2,-4,2,0,0,0,0,0,1,0.769230769230769,0.56,0.692307692307692,0,"Unknown"
"1831",31,24,173,178,178,182,145,145,18,7,5,13,5,2,"win_A",7,-5,-4,0,0,0,0,0,0.782608695652174,0.35,0.217391304347826,0.1,0,"orthodox"
"1811",25,33,173,168,178,173,140,139,8,22,0,32,3,10,"win_A",-8,5,5,1,0,0,0,0,1,0.407407407407407,0.375,0.185185185185185,0,"southpaw"
"5082",31,27,160,160,150,178,105,108,55,25,5,12,28,9,"win_A",4,0,-28,-3,0,0,0,0,0.916666666666667,0.675675675675676,0.466666666666667,0.243243243243243,0,"orthodox"
"4747",25,34,171,170,173,170,140,140,32,27,1,4,16,19,"win_A",-9,1,3,0,0,0,0,0,0.96969696969697,0.870967741935484,0.484848484848485,0.612903225806452,0,"orthodox"
"2892",20,33,173,166,183,173,132,130,4,9,0,9,3,2,"win_A",-13,7,10,2,0,0,0,0,1,0.5,0.75,0.111111111111111,0,"orthodox"
"3256",23,26,185,180,193,188,185,190,40,50,4,23,28,15,"win_A",-3,5,5,-5,0,0,0,0,0.909090909090909,0.684931506849315,0.636363636363636,0.205479452054795,0,"orthodox"
"1253",23,29,162,157,162,165,107,106,26,15,3,6,19,11,"win_A",-6,5,-3,1,0,0,0,0,0.896551724137931,0.714285714285714,0.655172413793103,0.523809523809524,0,"orthodox"
"3534",20,26,170,171,174,178,132,132,12,23,6,9,3,14,"win_A",-6,-1,-4,0,0,0,0,0,0.666666666666667,0.71875,0.166666666666667,0.4375,0,"Unknown"
"2016",19,38,170,180,183,183,147,147,15,60,1,57,14,49,"win_A",-19,-10,0,0,0,1,0,0,0.9375,0.512820512820513,0.875,0.418803418803419,0,"orthodox"
"5911",20,22,173,165,175,165,126,122,13,3,0,2,11,1,"win_A",-2,8,10,4,0,0,0,0,1,0.6,0.846153846153846,0.2,0,"orthodox"
"3042",43,27,170,173,168,173,167,166,92,25,10,4,65,10,"win_A",16,-3,-5,1,1,0,0,0,0.901960784313726,0.862068965517241,0.637254901960784,0.344827586206897,0,"orthodox"
"4864",21,25,188,180,198,196,171,171,14,16,0,0,14,15,"win_A",-4,8,2,0,0,0,0,0,1,1,1,0.9375,0,"southpaw"
"3903",37,27,170,174,173,173,151,158,71,34,29,23,25,16,"win_A",10,-4,0,-7,1,0,0,0,0.71,0.596491228070175,0.25,0.280701754385965,0,"Unknown"
"3282",26,21,179,185,182,193,178,184,166,25,31,4,13,19,"win_A",5,-6,-11,-6,0,0,0,0,0.842639593908629,0.862068965517241,0.065989847715736,0.655172413793103,0,"orthodox"
"2293",25,25,173,165,188,178,130,132,14,15,1,8,11,13,"win_A",0,8,10,-2,0,0,0,0,0.933333333333333,0.652173913043478,0.733333333333333,0.565217391304348,0,"orthodox"
"3679",38,35,170,183,180,185,193,190,36,22,8,8,21,16,"win_A",3,-13,-5,3,1,1,0,0,0.818181818181818,0.733333333333333,0.477272727272727,0.533333333333333,0,"orthodox"
"2351",21,20,171,168,171,168,128,128,1,1,0,0,0,0,"win_A",1,3,3,0,0,0,0,0,1,1,0,0,0,"orthodox"
"4511",27,30,170,168,173,165,122,122,24,45,0,5,15,25,"win_A",-3,2,8,0,0,0,0,0,1,0.9,0.625,0.5,0,"orthodox"
"2843",23,25,178,178,188,185,146,147,24,28,0,5,15,9,"win_A",-2,0,3,-1,0,0,0,0,1,0.848484848484849,0.625,0.272727272727273,0,"orthodox"
"3944",30,33,168,163,170,165,115,115,18,35,3,6,9,25,"win_A",-3,5,5,0,0,0,0,0,0.857142857142857,0.853658536585366,0.428571428571429,0.609756097560976,0,"orthodox"
"2510",31,32,196,180,216,188,208,258,10,3,0,14,6,2,"win_A",-1,16,28,-50,0,0,0,1,1,0.176470588235294,0.6,0.117647058823529,0,"orthodox"
"3206",28,32,190,183,206,201,210,210,26,54,0,6,19,52,"win_A",-4,7,5,0,0,0,0,0,1,0.9,0.730769230769231,0.866666666666667,0,"orthodox"
"954",27,21,165,162,169,166,112,112,19,18,1,1,11,6,"win_A",6,3,3,0,0,0,0,0,0.95,0.947368421052632,0.55,0.315789473684211,0,"orthodox"
"4962",29,30,183,182,173,188,154,154,30,29,0,2,22,20,"win_A",-1,1,-15,0,0,0,0,0,1,0.935483870967742,0.733333333333333,0.645161290322581,0,"southpaw"
"3612",28,24,168,168,173,171,135,132,62,54,13,24,24,24,"win_A",4,0,2,3,0,0,0,0,0.826666666666667,0.692307692307692,0.32,0.307692307692308,0,"orthodox"
"707",19,22,174,170,175,173,144,144,8,8,0,3,3,6,"win_A",-3,4,2,0,0,0,0,0,1,0.727272727272727,0.375,0.545454545454545,0,"southpaw"
"2321",19,25,157,163,160,159,108,109,8,0,1,5,6,0,"win_A",-6,-6,1,-1,0,0,0,0,0.888888888888889,0,0.666666666666667,0,0,"orthodox"
"1006",17,28,175,175,178,178,137,138,2,2,0,1,1,2,"win_A",-11,0,0,-1,0,0,0,0,1,0.666666666666667,0.5,0.666666666666667,0,"southpaw"
"5246",38,32,191,191,191,198,210,257,19,24,2,4,14,18,"win_A",6,0,-7,-47,1,0,0,1,0.904761904761905,0.857142857142857,0.666666666666667,0.642857142857143,0,"orthodox"
