"","age_A","age_B","height_A","height_B","reach_A","reach_B","weight_A","weight_B","won_A","won_B","lost_A","lost_B","kos_A","kos_B","AdvAgeA","AdvHeightA","AdvReachA","AdvWgtA","Over35AgeA","Over35AgeB","Over15lbA","Over15lbB","WinPA","WinPB","KoAPer","KoBPer","binaryresult","stance"
"5710",26,37,185,193,191,206,221,268,32,23,1,11,18,21,-11,-8,-15,-47,0,1,0,1,0.96969696969697,0.676470588235294,0.545454545454545,0.617647058823529,"0","orthodox"
"1744",36,26,166,170,178,188,131,131,29,25,4,1,14,15,10,-4,-10,0,1,0,0,0,0.878787878787879,0.961538461538462,0.424242424242424,0.576923076923077,"0","orthodox"
"3161",26,32,173,166,183,168,126,126,41,34,1,1,31,12,-6,7,15,0,0,0,0,0,0.976190476190476,0.971428571428571,0.738095238095238,0.342857142857143,"0","orthodox"
"4485",20,32,178,173,178,180,153,151,10,24,0,3,10,17,-12,5,-2,2,0,0,0,0,1,0.888888888888889,1,0.62962962962963,"0","orthodox"
"3999",31,31,168,164,165,163,115,115,42,29,0,11,24,18,0,4,2,0,0,0,0,0,1,0.725,0.571428571428571,0.45,"0","orthodox"
"4291",21,28,173,175,173,175,142,145,66,54,8,28,13,26,-7,-2,-2,-3,0,0,0,0,0.891891891891892,0.658536585365854,0.175675675675676,0.317073170731707,"0","Unknown"
"2785",29,28,174,178,180,178,147,147,36,28,0,0,33,18,1,-4,2,0,0,0,0,0,1,1,0.916666666666667,0.642857142857143,"0","orthodox"
"4375",21,24,160,165,168,165,115,113,11,4,0,15,6,4,-3,-5,3,2,0,0,0,0,1,0.210526315789474,0.545454545454545,0.210526315789474,"0","orthodox"
"5685",27,28,180,182,185,185,145,146,21,21,3,1,17,16,-1,-2,0,-1,0,0,0,0,0.875,0.954545454545455,0.708333333333333,0.727272727272727,"0","orthodox"
"1554",29,28,189,184,191,191,169,170,36,21,2,0,32,16,1,5,0,-1,0,0,0,0,0.947368421052632,1,0.842105263157895,0.761904761904762,"0","orthodox"
"2811",25,26,183,182,185,193,175,186,41,52,4,7,21,20,-1,1,-8,-11,0,0,0,0,0.911111111111111,0.88135593220339,0.466666666666667,0.338983050847458,"0","orthodox"
"5715",23,38,185,191,191,203,217,253,22,30,0,18,13,27,-15,-6,-12,-36,0,1,0,1,1,0.625,0.590909090909091,0.5625,"0","orthodox"
"5946",22,19,193,198,193,208,189,221,5,5,0,2,5,5,3,-5,-15,-32,0,0,0,1,1,0.714285714285714,1,0.714285714285714,"0","orthodox"
"714",22,34,185,175,194,183,160,160,15,49,0,4,10,31,-12,10,11,0,0,0,0,0,1,0.924528301886792,0.666666666666667,0.584905660377358,"0","southpaw"
"2887",21,24,173,168,183,180,130,130,18,25,0,2,14,20,-3,5,3,0,0,0,0,0,1,0.925925925925926,0.777777777777778,0.740740740740741,"0","orthodox"
"5492",29,29,165,164,170,168,118,118,24,35,1,5,15,20,0,1,2,0,0,0,0,0,0.96,0.875,0.6,0.5,"0","southpaw"
"843",19,31,175,170,175,175,146,146,5,32,2,26,2,20,-12,5,0,0,0,0,0,0,0.714285714285714,0.551724137931034,0.285714285714286,0.344827586206897,"0","orthodox"
"6005",25,34,173,168,191,180,146,147,18,27,4,8,9,18,-9,5,11,-1,0,0,0,0,0.818181818181818,0.771428571428571,0.409090909090909,0.514285714285714,"0","southpaw"
"5748",29,30,180,175,191,183,142,141,42,19,6,7,29,15,-1,5,8,1,0,0,0,0,0.875,0.730769230769231,0.604166666666667,0.576923076923077,"0","orthodox"
"3121",28,30,174,180,180,183,146,147,32,30,0,3,30,19,-2,-6,-3,-1,0,0,0,0,1,0.909090909090909,0.9375,0.575757575757576,"0","orthodox"
